service_date,day_type,bus,rail_boardings,total_rides
01/01/2001,U,297192,126455,423647
01/02/2001,W,780827,501952,1282779
01/03/2001,W,824923,536432,1361355
01/04/2001,W,870021,550011,1420032
01/05/2001,W,890426,557917,1448343
01/06/2001,A,577401,255356,832757
01/07/2001,U,375831,169825,545656
01/01/2002,U,294360,122471,416831
01/02/2002,W,766853,491630,1258483
01/03/2002,W,838088,523292,1361380
01/04/2002,W,858709,528849,1387558
01/05/2002,A,542470,245820,788290
01/06/2002,U,370508,177606,548114
01/07/2002,W,953807,568929,1522736
01/01/2003,U,325478,169985,495463
01/02/2003,W,757781,484840,1242621
01/03/2003,W,861580,515985,1377565
01/04/2003,A,570941,255217,826158
01/05/2003,U,377813,177159,554972
01/06/2003,W,982617,574868,1557485
01/07/2003,W,982542,580676,1563218
01/08/2003,W,1011812,592758,1604570
01/01/2004,U,300347,174003,474350
01/02/2004,W,754051,421851,1175902
01/03/2004,A,560436,250130,810566
01/04/2004,U,303611,162880,466491
01/05/2004,W,894467,548650,1443117
01/06/2004,W,788158,516396,1304554
01/07/2004,W,851011,536299,1387310
01/08/2004,W,903950,556891,1460841
01/01/2005,U,334140,196267,530407
01/02/2005,U,373512,183672,557184
01/03/2005,W,894571,512620,1407191
01/04/2005,W,972798,559563,1532361
01/05/2005,W,851226,558698,1409924
01/06/2005,W,862750,554283,1417033
01/07/2005,W,915274,554769,1470043
01/08/2005,A,533884,261042,794926
01/01/2006,U,287126,203291,490417
01/02/2006,U,360273,215920,576193
01/03/2006,W,772171,540341,1312512
01/04/2006,W,759600,543243,1302843
01/05/2006,W,766560,550285,1316845
01/06/2006,W,788239,551707,1339946
01/07/2006,A,518237,280538,798775
01/08/2006,U,367927,199691,567618
01/01/2007,U,326042,219953,545995
01/02/2007,W,772549,452097,1224646
01/03/2007,W,871683,561287,1432970
01/04/2007,W,814984,548904,1363888
01/05/2007,W,862748,569322,1432070
01/06/2007,A,580851,305019,885870
01/07/2007,U,384626,208188,592814
01/08/2007,W,976783,594028,1570811
01/01/2008,U,295571,174243,469814
01/02/2008,W,699149,471241,1170390
01/03/2008,W,783950,517492,1301442
01/04/2008,W,851632,537002,1388634
