"Month","Ridership"
"2019-01",33522715
"2019-02",34635616
"2019-03",38286317
"2019-04",38322528
"2019-05",40351837
"2019-06",38578035
"2019-07",39007814
"2019-08",39349674
"2019-09",40035898
"2019-10",42383145
"2019-11",36752771
"2019-12",34517195
"2020-01",36663539
"2020-02",35328885
"2020-03",23135123
"2020-04",8118264
"2020-05",9057928
"2020-06",10286825
"2020-07",12863488
"2020-08",12801495
"2020-09",13149933
"2020-10",16337150
"2020-11",11308845
"2020-12",11148318
"2021-01",10785642
"2021-02",10459292
"2021-03",13595092
"2021-04",13868678
"2021-05",14922430
"2021-06",16603300
"2021-07",18592597
"2021-08",19010874
"2021-09",21047014
"2021-10",20934906
"2021-11",18944613
"2021-12",17216125
"2022-01",14336716
"2022-02",16264298
"2022-03",20521598
"2022-04",19799878
"2022-05",21178009
"2022-06",21403521
"2022-07",20905052
"2022-08",22291311
"2022-09",23466606
"2022-10",23576296
"2022-11",20934641
"2022-12",18860877
"2023-01",19871252
"2023-02",19366395
