,day,year,bus,rail_boardings,total_rides
0,Friday,2001,50725883,31452797,82178680
1,Friday,2002,50932270,30890175,81822445
2,Friday,2003,48239528,30464733,78704261
3,Friday,2004,49195245,30445453,79640698
4,Friday,2005,50355516,31554759,81910275
5,Friday,2006,49592717,33300520,82893237
6,Friday,2007,51224868,32547732,83772600
7,Friday,2008,53300520,33035582,86336102
8,Friday,2009,51351127,33431291,84782418
9,Friday,2010,50348132,35181790,85529922
10,Friday,2011,55187402,39853136,95040538
11,Friday,2012,51206982,38423675,89630657
12,Friday,2013,49723260,38164540,87887800
13,Friday,2014,48540723,42414327,90955050
14,Friday,2015,44616993,39627156,84244149
15,Friday,2016,42659110,40110514,82769624
16,Friday,2017,40987130,38217274,79204404
17,Friday,2018,39587267,37376585,76963852
18,Friday,2019,38924266,36372112,75296378
19,Friday,2020,19810201,12616765,32426966
20,Friday,2021,19042619,12941594,31984213
21,Friday,2022,22253709,16188466,38442175
22,Monday,2001,48002784,29410278,77413062
23,Monday,2002,48185336,29202722,77388058
24,Monday,2003,46818821,29327703,76146524
25,Monday,2004,46072246,28379823,74452069
26,Monday,2005,47420597,29367349,76787946
27,Monday,2006,46158516,30365970,76524486
28,Monday,2007,48718707,30203989,78922696
29,Monday,2008,51126281,31346468,82472749
30,Monday,2009,50154880,31863171,82018051
31,Monday,2010,47881915,32565373,80447288
32,Monday,2011,53846726,37984858,91831584
33,Monday,2012,49086110,35679215,84765325
34,Monday,2013,47567874,35635039,83202913
35,Monday,2014,46302829,39407298,85710127
36,Monday,2015,43118484,37602050,80720534
37,Monday,2016,40687809,36732202,77420011
38,Monday,2017,39203402,35541322,74744724
39,Monday,2018,38345766,35385398,73731164
40,Monday,2019,37783990,34833879,72617869
41,Monday,2020,18722981,11690992,30413973
42,Monday,2021,17904712,11146756,29051468
43,Monday,2022,21505190,14607866,36113056
44,Saturday,2001,31642096,15638393,47280489
45,Saturday,2002,31934865,16060071,47994936
46,Saturday,2003,30646448,16466459,47112907
47,Saturday,2004,30898153,16348288,47246441
48,Saturday,2005,32225664,17877309,50102973
49,Saturday,2006,31421179,18735149,50156328
50,Saturday,2007,32846894,17934441,50781335
51,Saturday,2008,35620592,18854065,54474657
52,Saturday,2009,34707798,20326735,55034533
53,Saturday,2010,32038472,21653264,53691736
54,Saturday,2011,37049857,25989477,63039334
55,Saturday,2012,33695984,24541568,58237552
56,Saturday,2013,31433253,24118743,55551996
57,Saturday,2014,31202236,27296604,58498840
58,Saturday,2015,28531942,24916929,53448871
59,Saturday,2016,26834157,24715736,51549893
60,Saturday,2017,24814737,22860740,47675477
61,Saturday,2018,24014906,21993395,46008301
62,Saturday,2019,23812028,20661992,44474020
63,Saturday,2020,13157173,7534583,20691756
64,Saturday,2021,13161439,10119452,23280891
65,Saturday,2022,14704586,12496176,27200762
66,Sunday,2001,21272492,10803133,32075625
67,Sunday,2002,21347272,11086573,32433845
