,service_date,day_type,bus,rail_boardings,total_rides,day,year
0,01/01/2001,U,297192,126455,423647,Monday,2001
1,01/02/2001,W,780827,501952,1282779,Tuesday,2001
2,01/03/2001,W,824923,536432,1361355,Wednesday,2001
3,01/04/2001,W,870021,550011,1420032,Thursday,2001
4,01/05/2001,W,890426,557917,1448343,Friday,2001
5,01/06/2001,A,577401,255356,832757,Saturday,2001
6,01/07/2001,U,375831,169825,545656,Sunday,2001
7,01/01/2002,U,294360,122471,416831,Tuesday,2002
8,01/02/2002,W,766853,491630,1258483,Wednesday,2002
9,01/03/2002,W,838088,523292,1361380,Thursday,2002
10,01/04/2002,W,858709,528849,1387558,Friday,2002
11,01/05/2002,A,542470,245820,788290,Saturday,2002
12,01/06/2002,U,370508,177606,548114,Sunday,2002
13,01/07/2002,W,953807,568929,1522736,Monday,2002
14,01/01/2003,U,325478,169985,495463,Wednesday,2003
15,01/02/2003,W,757781,484840,1242621,Thursday,2003
16,01/03/2003,W,861580,515985,1377565,Friday,2003
17,01/04/2003,A,570941,255217,826158,Saturday,2003
18,01/05/2003,U,377813,177159,554972,Sunday,2003
19,01/06/2003,W,982617,574868,1557485,Monday,2003
20,01/07/2003,W,982542,580676,1563218,Tuesday,2003
21,01/08/2003,W,1011812,592758,1604570,Wednesday,2003
22,01/01/2004,U,300347,174003,474350,Thursday,2004
23,01/02/2004,W,754051,421851,1175902,Friday,2004
24,01/03/2004,A,560436,250130,810566,Saturday,2004
25,01/04/2004,U,303611,162880,466491,Sunday,2004
26,01/05/2004,W,894467,548650,1443117,Monday,2004
27,01/06/2004,W,788158,516396,1304554,Tuesday,2004
28,01/07/2004,W,851011,536299,1387310,Wednesday,2004
29,01/08/2004,W,903950,556891,1460841,Thursday,2004
30,01/01/2005,U,334140,196267,530407,Saturday,2005
31,01/02/2005,U,373512,183672,557184,Sunday,2005
32,01/03/2005,W,894571,512620,1407191,Monday,2005
33,01/04/2005,W,972798,559563,1532361,Tuesday,2005
34,01/05/2005,W,851226,558698,1409924,Wednesday,2005
35,01/06/2005,W,862750,554283,1417033,Thursday,2005
36,01/07/2005,W,915274,554769,1470043,Friday,2005
37,01/08/2005,A,533884,261042,794926,Saturday,2005
38,01/01/2006,U,287126,203291,490417,Sunday,2006
39,01/02/2006,U,360273,215920,576193,Monday,2006
40,01/03/2006,W,772171,540341,1312512,Tuesday,2006
41,01/04/2006,W,759600,543243,1302843,Wednesday,2006
42,01/05/2006,W,766560,550285,1316845,Thursday,2006
43,01/06/2006,W,788239,551707,1339946,Friday,2006
44,01/07/2006,A,518237,280538,798775,Saturday,2006
45,01/08/2006,U,367927,199691,567618,Sunday,2006
46,01/01/2007,U,326042,219953,545995,Monday,2007
47,01/02/2007,W,772549,452097,1224646,Tuesday,2007
48,01/03/2007,W,871683,561287,1432970,Wednesday,2007
49,01/04/2007,W,814984,548904,1363888,Thursday,2007
50,01/05/2007,W,862748,569322,1432070,Friday,2007
51,01/06/2007,A,580851,305019,885870,Saturday,2007
52,01/07/2007,U,384626,208188,592814,Sunday,2007
53,01/08/2007,W,976783,594028,1570811,Monday,2007
54,01/01/2008,U,295571,174243,469814,Tuesday,2008
55,01/02/2008,W,699149,471241,1170390,Wednesday,2008
56,01/03/2008,W,783950,517492,1301442,Thursday,2008
57,01/04/2008,W,851632,537002,1388634,Friday,2008
58,01/05/2008,A,568839,280264,849103,Saturday,2008
59,01/06/2008,U,415385,207391,622776,Sunday,2008
60,01/07/2008,W,988485,588092,1576577,Monday,2008
61,01/08/2008,W,990597,592632,1583229,Tuesday,2008
62,01/01/2009,U,338779,238590,577369,Thursday,2009
63,01/02/2009,W,765802,443439,1209241,Friday,2009
64,01/03/2009,A,580506,293634,874140,Saturday,2009
