,year,month,bus,rail_boardings,total_rides
0,2001,1,25022908,14712334,39735242
1,2001,2,23768892,13669269,37438161
2,2001,3,26827165,15463578,42290743
3,2001,4,25053791,14713336,39767127
4,2001,5,26743744,15743730,42487474
5,2001,6,24994471,15586497,40580968
6,2001,7,24537097,16024798,40561895
7,2001,8,24647188,16014736,40661924
8,2001,9,24908952,14745685,39654637
9,2001,10,26768528,16663128,43431656
10,2001,11,25011551,14938831,39950382
11,2001,12,23428582,13416966,36845548
12,2002,1,24807048,14575032,39382080
13,2002,2,23485882,13623948,37109830
14,2002,3,24858090,14425156,39283246
15,2002,4,25221491,15174004,40395495
16,2002,5,26354521,15360509,41715030
17,2002,6,24761346,15053807,39815153
18,2002,7,25188006,15857103,41045109
19,2002,8,25288246,15435275,40723521
20,2002,9,26357013,15484498,41841511
21,2002,10,28153909,17019722,45173631
22,2002,11,24745987,14722850,39468837
23,2002,12,24079920,13667725,37747645
24,2003,1,24105413,14291457,38396870
25,2003,2,22682591,13500316,36182907
26,2003,3,24641667,14871334,39513001
27,2003,4,24305593,14931185,39236778
28,2003,5,25394299,15185979,40580278
29,2003,6,24198323,15322370,39520693
30,2003,7,24125081,16118402,40243483
31,2003,8,23476981,15288449,38765430
32,2003,9,25692283,16060874,41753157
33,2003,10,27180176,17410429,44590605
34,2003,11,22815713,14234715,37050428
35,2003,12,23187539,13919586,37107125
36,2004,1,22839075,13627582,36466657
37,2004,2,22913765,13673743,36587508
38,2004,3,25579313,15391689,40971002
39,2004,4,24348105,14862436,39210541
40,2004,5,24699079,14541132,39240211
41,2004,6,24849483,15627167,40476650
42,2004,7,23990049,15483129,39473178
43,2004,8,23788588,15097873,38886461
44,2004,9,26347879,15794609,42142488
45,2004,10,26910320,16128714,43039034
46,2004,11,24608075,14787419,39395494
47,2004,12,23156985,13700975,36857960
48,2005,1,23346168,13955590,37301758
49,2005,2,23941812,13738961,37680773
50,2005,3,25841232,15254896,41096128
51,2005,4,25747419,15370569,41117988
52,2005,5,25948616,15621628,41570244
53,2005,6,25158657,16265443,41424100
54,2005,7,24292107,15833269,40125376
55,2005,8,25500301,16314282,41814583
56,2005,9,27453694,17104586,44558280
57,2005,10,27500140,17274907,44775047
58,2005,11,25010567,15590297,40600864
59,2005,12,23503459,14435097,37938556
60,2006,1,23256316,14950854,38207170
61,2006,2,23084695,14326407,37411102
62,2006,3,26587686,16520883,43108569
63,2006,4,23909312,15606925,39516237
64,2006,5,26436976,16977479,43414455
65,2006,6,24874712,16871696,41746408
66,2006,7,23597397,17049203,40646600
67,2006,8,24691332,17405119,42096451
68,2006,9,25932978,17188545,43121523
69,2006,10,27061706,17771287,44832993
70,2006,11,25200267,16048158,41248425
71,2006,12,23799849,14452757,38252606
72,2007,1,24546428,15204486,39750914
73,2007,2,21990046,13697106,35687152
74,2007,3,26829504,16201728,43031232
75,2007,4,25272566,15152310,40424876
76,2007,5,27763654,16445467,44209121
77,2007,6,25535357,16506514,42041871
78,2007,7,25369860,16925607,42295467
79,2007,8,25854753,16913218,42767971
80,2007,9,26732929,16392214,43125143
