service_date,total_rides
01/01/2001,423647
01/02/2001,1282779
01/03/2001,1361355
01/04/2001,1420032
01/05/2001,1448343
01/06/2001,832757
01/07/2001,545656
01/08/2001,1575927
01/09/2001,1578282
01/10/2001,1586936
01/11/2001,1603064
01/12/2001,1624237
01/13/2001,861847
01/14/2001,547933
01/15/2001,1087994
01/16/2001,1646530
01/17/2001,1639033
01/18/2001,1625828
01/19/2001,1493815
01/20/2001,846163
01/21/2001,550488
01/22/2001,1604713
01/23/2001,1630335
01/24/2001,1598496
01/25/2001,1614134
01/26/2001,1562363
01/27/2001,858914
01/28/2001,543253
01/29/2001,1540584
01/30/2001,1589904
01/31/2001,1609900
02/01/2001,1669876
02/02/2001,1544468
02/03/2001,875315
02/04/2001,582610
02/05/2001,1646532
02/06/2001,1651828
02/07/2001,1624081
02/08/2001,1617997
02/09/2001,1564180
02/10/2001,876717
02/11/2001,584243
02/12/2001,1411723
02/13/2001,1673587
02/14/2001,1615270
02/15/2001,1642261
02/16/2001,1634458
02/17/2001,861011
02/18/2001,565643
02/19/2001,1240338
02/20/2001,1645684
02/21/2001,1586345
02/22/2001,1592701
02/23/2001,1626587
02/24/2001,751988
02/25/2001,523769
02/26/2001,1618585
02/27/2001,1609935
02/28/2001,1600429
03/01/2001,1670329
03/02/2001,1673812
03/03/2001,965656
03/04/2001,564270
03/05/2001,1412845
03/06/2001,1617091
03/07/2001,1645128
03/08/2001,1612317
03/09/2001,1645040
03/10/2001,916723
03/11/2001,598309
03/12/2001,1568268
03/13/2001,1629032
03/14/2001,1644700
03/15/2001,1557279
03/16/2001,1506972
03/17/2001,946051
03/18/2001,606403
03/19/2001,1624169
03/20/2001,1652728
03/21/2001,1646096
03/22/2001,1648556
03/23/2001,1636290
03/24/2001,881167
03/25/2001,519559
03/26/2001,1572492
03/27/2001,1618818
03/28/2001,1609698
03/29/2001,1625125
03/30/2001,1568647
03/31/2001,907173
04/01/2001,610433
04/02/2001,1634727
04/03/2001,1671268
04/04/2001,1672982
04/05/2001,1579653
04/06/2001,1626398
04/07/2001,940236
04/08/2001,637755
04/09/2001,1594708
04/10/2001,1638128
04/11/2001,1592670
04/12/2001,1600486
04/13/2001,1392822
04/14/2001,908254
04/15/2001,528163
04/16/2001,1424327
