"Month","CTA Ridership","TNP Trips","Crashes"
Nov-2018,37995038,8780411,19172
Dec-2018,34653521,8681042,20384
Jan-2019,33522713,8784983,18404
Feb-2019,34635617,8849315,17254
Mar-2019,38286316,7070693,19758
Apr-2019,38322529,9211811,19205
May-2019,40351838,9706891,21712
Jun-2019,38578037,9518793,21836
Jul-2019,39007815,9138820,21757
Aug-2019,39349666,9407139,20429
Sep-2019,40035897,8916402,20128
Oct-2019,42383146,9500519,20461
Nov-2019,36752772,9305447,19813
Dec-2019,34517194,9241481,19436
Jan-2020,36663540,8804875,17806
Feb-2020,35328884,9063686,18518
Mar-2020,23135120,5314896,13768
Apr-2020,8118262,1543440,9189
May-2020,9057927,1912247,13740
Jun-2020,10286826,2672854,15822
Jul-2020,12863488,3419835,18643
Aug-2020,12801493,3505037,18804
Sep-2020,13149933,3641627,17093
Oct-2020,13637151,3996156,17171
Nov-2020,11308846,3004900,14301
Dec-2020,11148321,3126759,14737
Jan-2021,10785643,3355589,14402
Feb-2021,10459292,3267073,16978
Mar-2021,13595095,3861950,15736
Apr-2021,13868676,3803638,16663
May-2021,14922431,4088632,19844
Jun-2021,16603301,4123875,21178
Jul-2021,18592600,4526386,20543
Aug-2021,19010876,4344194,20465
Sep-2021,21047016,4571240,20292
Oct-2021,20934903,5277444,21020
Nov-2021,18944612,4903719,17941
Dec-2021,17216125,5046136,17365
Jan-2022,14336716,4704329,16598
Feb-2022,16264298,4718808,16067
Mar-2022,20521598,5837599,17366
Apr-2022,19799880,5626360,17294
May-2022,21178010,5802374,20067
Jun-2022,21403521,5755339,19554
Jul-2022,20905053,6078292,18891
Aug-2022,22291312,5848933,18804
Sep-2022,23466609,5821504,19567
Oct-2022,23576296,6643944,20197
Nov-2022,20934640,5998222,17957
Dec-2022,18860877,6274076,18151
Jan-2023,19871252,6161697,16403
Feb-2023,19366395,6118546,16332
