month,m,bus,rail_boardings,total_rides
Jan-2019,1,17453868,16068845,33522713
Feb-2019,2,18278676,16356941,34635617
Mar-2019,3,20267147,18019169,38286316
Apr-2019,4,19936880,18385649,38322529
May-2019,5,21144868,19206970,40351838
Jun-2019,6,19794294,18783743,38578037
Jul-2019,7,19903917,19103898,39007815
Aug-2019,8,19940708,19408958,39349666
Sep-2019,9,20857679,19178218,40035897
Oct-2019,10,21800400,20582746,42383146
Nov-2019,11,19304408,17448364,36752772
Dec-2019,12,18593554,15923640,34517194
Jan-2020,1,19482387,17181153,36663540
Feb-2020,2,19030115,16298769,35328884
Mar-2020,3,13340656,9794464,23135120
Apr-2020,4,5851652,2266610,8118262
May-2020,5,6822849,2235078,9057927
Jun-2020,6,7331691,2955135,10286826
Jul-2020,7,8608427,4255061,12863488
Aug-2020,8,8540935,4260558,12801493
Sep-2020,9,8593214,4556719,13149933
Oct-2020,10,8886804,4750347,13637151
Nov-2020,11,7493942,3814904,11308846
Dec-2020,12,7467248,3681073,11148321
Jan-2021,1,7156782,3628861,10785643
Feb-2021,2,6807111,3652181,10459292
Mar-2021,3,8867549,4727546,13595095
Apr-2021,4,8864580,5004096,13868676
May-2021,5,9197726,5724705,14922431
Jun-2021,6,9844711,6758590,16603301
Jul-2021,7,10605134,7987466,18592600
Aug-2021,8,10949681,8061195,19010876
Sep-2021,9,12058765,8988251,21047016
Oct-2021,10,11905629,9029274,20934903
Nov-2021,11,10923926,8020686,18944612
Dec-2021,12,10175928,7040197,17216125
Jan-2022,1,8606585,5730131,14336716
Feb-2022,2,9684827,6579471,16264298
Mar-2022,3,12082027,8439571,20521598
Apr-2022,4,11480608,8319272,19799880
May-2022,5,12254083,8923927,21178010
Jun-2022,6,11995182,9408339,21403521
Jul-2022,7,11554429,9350624,20905053
Aug-2022,8,12641823,9649489,22291312
Sep-2022,9,13266349,10200260,23466609
Oct-2022,10,13300536,10275760,23576296
Nov-2022,11,12055415,8879225,20934640
Dec-2022,12,11092088,7768789,18860877
Jan-2023,01,NaN, NaN, 19871252
Feb-2023,02,NaN, NaN, 19366395
